STUDY_ID	SAMPLE_ID	KRAS	TP53	AURKA	EGFR
luad_tcga_pan_can_atlas_2018	TCGA-55-8208-01	0.104	0.137	0.153	0.09
luad_tcga_pan_can_atlas_2018	TCGA-55-8299-01	-0.052	0.035	-0.05	0.069
luad_tcga_pan_can_atlas_2018	TCGA-55-8301-01	0.011	-0.072	-0.015	0.184
luad_tcga_pan_can_atlas_2018	TCGA-55-8302-01	0.3	-0.209	0.105	0.226
luad_tcga_pan_can_atlas_2018	TCGA-55-8505-01	0.104	0.024	-0.025	0.151
luad_tcga_pan_can_atlas_2018	TCGA-55-8506-01	0.034	-0.619	0.191	0.057
luad_tcga_pan_can_atlas_2018	TCGA-55-8507-01	1.44	0.324	0.575	-0.265
luad_tcga_pan_can_atlas_2018	TCGA-55-8508-01	0.123	0.014	0.213	0.096
luad_tcga_pan_can_atlas_2018	TCGA-55-8510-01	-0.119	-0.122	0.09	0.427
luad_tcga_pan_can_atlas_2018	TCGA-55-8511-01	-0.219	-0.218	-0.097	0.233
luad_tcga_pan_can_atlas_2018	TCGA-55-8512-01	0.001	-0.015	0.601	0.001
luad_tcga_pan_can_atlas_2018	TCGA-55-8513-01	-0.002	0.005	0.005	-0.005
luad_tcga_pan_can_atlas_2018	TCGA-55-8514-01	-0.394	-0.397	0.402	1.55
luad_tcga_pan_can_atlas_2018	TCGA-55-8614-01	-0.193	-0.256	0.01	-0.067
luad_tcga_pan_can_atlas_2018	TCGA-55-8615-01	0.533	0.098	-0.242	1.07
luad_tcga_pan_can_atlas_2018	TCGA-55-8616-01	-0.148	0.076	0.003	0.13
luad_tcga_pan_can_atlas_2018	TCGA-55-8619-01	-0.137	-0.085	0.003	-0.001
luad_tcga_pan_can_atlas_2018	TCGA-55-8620-01	0.007	-0.405	0.859	-0.606
luad_tcga_pan_can_atlas_2018	TCGA-55-8621-01	0.001	0.043	-0.004	0.055
luad_tcga_pan_can_atlas_2018	TCGA-55-A48X-01	-0.224	-0.218	0.054	0.02
luad_tcga_pan_can_atlas_2018	TCGA-55-A48Y-01	0.027	-0.368	-0.029	0.079
luad_tcga_pan_can_atlas_2018	TCGA-55-A48Z-01	-0.27	-0.644	0.316	1.3
luad_tcga_pan_can_atlas_2018	TCGA-55-A490-01	0.487	-0.059	0.42	0.153
luad_tcga_pan_can_atlas_2018	TCGA-55-A491-01	-0.186	-0.224	0.182	0.245
luad_tcga_pan_can_atlas_2018	TCGA-55-A492-01	0.011	0.035	0.006	0.17
luad_tcga_pan_can_atlas_2018	TCGA-55-A493-01	0.231	0.079	0.115	0.423
luad_tcga_pan_can_atlas_2018	TCGA-55-A494-01	1.19	-0.01	-0.638	0.97
luad_tcga_pan_can_atlas_2018	TCGA-55-A4DF-01	0.142	-0.014	0.51	0.011
luad_tcga_pan_can_atlas_2018	TCGA-55-A4DG-01	-0.474	0.124	0.118	0.464
luad_tcga_pan_can_atlas_2018	TCGA-55-A57B-01	-0.009	-0.239	-0.015	0.681
luad_tcga_pan_can_atlas_2018	TCGA-62-8394-01	-0.061	-0.296	0.131	0.847
luad_tcga_pan_can_atlas_2018	TCGA-62-8395-01	-0.009	-0.001	-0.01	0.029
luad_tcga_pan_can_atlas_2018	TCGA-62-8397-01	0.036	-0.714	0.135	0.173
luad_tcga_pan_can_atlas_2018	TCGA-62-8398-01	0.699	0.122	-0.007	0.122
luad_tcga_pan_can_atlas_2018	TCGA-62-8399-01	-0.009	-0.059	0.47	0.406
luad_tcga_pan_can_atlas_2018	TCGA-62-8402-01	0.222	-0.055	0.44	-0.333
luad_tcga_pan_can_atlas_2018	TCGA-62-A46O-01	0.406	-0.548	-0.495	0.128
luad_tcga_pan_can_atlas_2018	TCGA-62-A46P-01	0.001	-0.028	1.13	0.495
luad_tcga_pan_can_atlas_2018	TCGA-62-A46R-01	-0.254	-0.403	-0.097	0.414
luad_tcga_pan_can_atlas_2018	TCGA-62-A46S-01	-0.227	-0.506	-0.385	0.029
luad_tcga_pan_can_atlas_2018	TCGA-62-A46U-01	-0.102	-0.353	-0.218	0.033
luad_tcga_pan_can_atlas_2018	TCGA-62-A46V-01	0.007	-0.026	-0.023	0.009
luad_tcga_pan_can_atlas_2018	TCGA-62-A46Y-01	0.895	0.104	0.056	0.598
luad_tcga_pan_can_atlas_2018	TCGA-62-A470-01	0.406	-0.027	-0.031	0.001
luad_tcga_pan_can_atlas_2018	TCGA-62-A471-01	0.301	0.13	0.006	-0.367
luad_tcga_pan_can_atlas_2018	TCGA-62-A472-01	0	-0.486	-0.257	0.275
luad_tcga_pan_can_atlas_2018	TCGA-64-1676-01	-0.407	-0.408	0.592	0.107
luad_tcga_pan_can_atlas_2018	TCGA-64-1677-01	0.097	0.128	0.43	0.065
luad_tcga_pan_can_atlas_2018	TCGA-64-1678-01	0.499	-0.113	0.381	-0.017
luad_tcga_pan_can_atlas_2018	TCGA-64-1679-01	0.005	-0.305	0.096	0.168
luad_tcga_pan_can_atlas_2018	TCGA-64-1680-01	-0.038	-0.006	-0.032	0.471
luad_tcga_pan_can_atlas_2018	TCGA-64-1681-01	0.393	-0.295	0.615	0.457
luad_tcga_pan_can_atlas_2018	TCGA-64-5774-01	0.048	-0.485	0.566	0.041
luad_tcga_pan_can_atlas_2018	TCGA-64-5775-01	1.74	0.01	0.119	-0.021
luad_tcga_pan_can_atlas_2018	TCGA-64-5778-01	-0.512	-0.53	0.02	0.027
luad_tcga_pan_can_atlas_2018	TCGA-64-5779-01	0.035	-0.337	0.435	0.103
luad_tcga_pan_can_atlas_2018	TCGA-64-5781-01	0.052	-0.035	0.107	0.38
luad_tcga_pan_can_atlas_2018	TCGA-64-5815-01	0.011	-0.354	-0.008	0.015
luad_tcga_pan_can_atlas_2018	TCGA-67-3770-01	-0.014	-0.666	-0.662	0.139
luad_tcga_pan_can_atlas_2018	TCGA-67-3771-01	-0.713	-0.147	0.608	0.344
luad_tcga_pan_can_atlas_2018	TCGA-67-3772-01	-0.064	-0.37	0.152	0.198
luad_tcga_pan_can_atlas_2018	TCGA-67-3773-01	0.002	-0.761	-0.765	0
luad_tcga_pan_can_atlas_2018	TCGA-67-3774-01	1.1	0.011	1.35	-0.497
luad_tcga_pan_can_atlas_2018	TCGA-67-4679-01	-0.004	-0.025	-0.028	0
luad_tcga_pan_can_atlas_2018	TCGA-67-6215-01	-0.005	-0.272	0.866	-0.006
luad_tcga_pan_can_atlas_2018	TCGA-67-6216-01	0.007	0	-0.59	-0.006
