STUDY_ID	SAMPLE_ID	KRAS	EGFR	AURKA	TP53
luad_tcga_pan_can_atlas_2018	TCGA-55-A57B-01	-0.9536	1.85	-1.2136	0.2879
luad_tcga_pan_can_atlas_2018	TCGA-62-8394-01	-0.4794	0.5478	0.6576	1.0912
luad_tcga_pan_can_atlas_2018	TCGA-62-8395-01	0.247	0.5946	1.1119	0.2527
luad_tcga_pan_can_atlas_2018	TCGA-62-8397-01	-1.0378	1.7423	-0.9857	-1.3965
luad_tcga_pan_can_atlas_2018	TCGA-62-8398-01	0.798	-0.7075	0.6631	0.5117
luad_tcga_pan_can_atlas_2018	TCGA-62-8399-01	-0.3143	0.7763	-0.0726	-2.1864
luad_tcga_pan_can_atlas_2018	TCGA-62-8402-01	-0.0233	0.5489	0.8086	0.4534
luad_tcga_pan_can_atlas_2018	TCGA-62-A46O-01	1.5806	0.562	1.1292	-2.2106
luad_tcga_pan_can_atlas_2018	TCGA-62-A46P-01	0.1553	-1.4231	-0.1909	0.1225
luad_tcga_pan_can_atlas_2018	TCGA-62-A46R-01	0.5385	1.1328	0.1289	-2.2291
luad_tcga_pan_can_atlas_2018	TCGA-62-A46S-01	0.6868	-1.301	1.2069	-1.0022
luad_tcga_pan_can_atlas_2018	TCGA-62-A46U-01	0.0208	0.9328	0.3129	-0.0786
luad_tcga_pan_can_atlas_2018	TCGA-62-A46V-01	-0.1842	0.283	-0.1625	0.025
luad_tcga_pan_can_atlas_2018	TCGA-62-A46Y-01	0.293	0.3067	-0.383	0.6603
luad_tcga_pan_can_atlas_2018	TCGA-62-A470-01	0.9964	-0.9731	0.3804	-0.1873
